transaction_id,category,amount(usd),merchant,job,hour,age,is_fraud
dcfda7a691c91e73db6733de49349021,gas_transport,40.95,fraud_Koss and Sons,Mining engineer,9,68,0.0
e0fea87b9e96a7a3a967938509ba789f,entertainment,33.25,"fraud_Parker, Nolan and Trantow","Geologist, engineering",12,65,0.0
08ef7c5b8833d44d4dd787366979cd69,misc_net,4.15,"fraud_Ferry, Lynch and Kautzer",Environmental consultant,2,43,0.0
d81a24a7b2227833cede46d6a295608e,shopping_pos,7.45,fraud_Pacocha-Bauch,Music tutor,6,57,0.0
6d9c2fb359c26ab7bba64d4a71bf9073,entertainment,286.26,"fraud_Effertz, Welch and Schowalter",Tax adviser,7,55,0.0
7df4a244051a53a936217c87d7d838e8,travel,7.93,fraud_Hackett Group,Heritage manager,19,56,0.0
b280f9946297675bdd41223c6552d38d,shopping_pos,579.85,fraud_Turner and Sons,"Copywriter, advertising",20,37,0.0
bbdd6ab4e749ed511087f9b9c21bcac7,grocery_pos,180.89,"fraud_Osinski, Ledner and Leuschke","Designer, exhibition/display",7,50,0.0
682b7883368c4adc2764de5ef2f458ce,grocery_pos,118.39,fraud_Rau and Sons,Barrister,4,86,0.0
3787bde486f82af9840c57580c6e5bf9,grocery_pos,55.12,fraud_Kunze Inc,"Teacher, early years/pre",8,82,0.0
893afc5360d67c8442eae3f39ddaefbb,grocery_net,51.58,"fraud_Towne, Walker and Borer",Dance movement psychotherapist,1,36,0.0
1495b254323ed9275d7030317f95c58b,food_dining,6.55,fraud_Daugherty-Thompson,"Copywriter, advertising",13,43,0.0
e46a5592ce9142b71f8fc92fff23db7e,grocery_pos,124.28,fraud_Koepp-Parker,Retail banker,0,67,0.0
57f7d9038ee106380648b8bb1fe4bfdc,gas_transport,66.8,fraud_Heller-Langosh,Drilling engineer,3,29,0.0
c427c06c33545a79c40d4294f05cbcd6,gas_transport,66.62,fraud_Schmitt Inc,Operational researcher,6,41,0.0
8de80222c695acdd0d97cad201a70e65,entertainment,23.48,fraud_Gibson-Deckow,Secondary school teacher,4,80,0.0
4df4e996fa33dfc12f281ae45c0973b6,gas_transport,73.1,fraud_Harber Inc,Musician,0,40,0.0
023c91dee0169aaedd52eb3f41e4c5b3,personal_care,40.01,fraud_Nader-Maggio,Heritage manager,18,36,0.0
3efb89a131834066c279f089698c0f58,home,70.92,fraud_Collier LLC,Special effects artist,18,52,0.0
0a8f90fd0a280cab75f9da47fa1f1cef,personal_care,41.17,fraud_Monahan-Morar,Claims inspector/assessor,19,53,0.0
06c1ed1f6a12eb3f9544f062b026002c,entertainment,15.82,fraud_Douglas-White,Chief Executive Officer,19,31,0.0
a506e4f93aa6fc3b7fa84636f34facbe,shopping_pos,141.69,fraud_Jast-McDermott,"Pharmacist, community",2,29,0.0
1e8ecf2f90cc24494bc4c4dc89a0672e,misc_pos,1.72,fraud_Keeling-Crist,Neurosurgeon,0,57,0.0
d8647c5506fa745a45f4012b28689b16,home,73.42,fraud_Gaylord-Powlowski,Historic buildings inspector/conservation officer,21,27,0.0
e25e8c0466b39a44b9006682d12eea01,health_fitness,18.08,fraud_Bahringer Group,Industrial/product designer,22,84,1.0
dda7024ce6406d9292de2943be929e9b,entertainment,41.85,"fraud_Hoppe, Harris and Bednar",IT trainer,13,28,0.0
f857e162ff516b988a62f15bf776d715,grocery_pos,130.08,fraud_Kiehn Inc,"Editor, commissioning",9,43,0.0
f809fa2a316c7bcb21c48226eee1da81,shopping_pos,8.12,fraud_Barrows PLC,Sub,8,81,0.0
53cf248e38e89831555e0e6a7ce4bcb4,gas_transport,58.05,fraud_Marks Inc,Medical secretary,6,32,0.0
d6103937e6707b1d1a399f6956d6ca13,food_dining,4.11,fraud_Jakubowski Group,Comptroller,22,35,0.0
60c77bb547e3dd197f7fa91a47724a45,shopping_pos,5.65,fraud_Hermann and Sons,Materials engineer,7,60,0.0
fd8b1c922a59d6d1d443e1c89dec15c6,health_fitness,10.3,fraud_Fritsch and Sons,Special educational needs teacher,20,44,0.0
5bcf600e1a285f8f277c0e3d5caf4686,misc_net,9.96,"fraud_Bernier, Volkman and Hoeger",Futures trader,13,22,0.0
fd56f12b954f68b74b4087e828103bff,misc_net,15.07,"fraud_Kerluke, Considine and Macejkovic",Systems developer,4,56,0.0
4351d8c33fd18bd3480148108ba9f284,misc_net,38.02,fraud_McGlynn-Heathcote,Social researcher,9,67,0.0
67292da0c5c8723a50d06cd89cb0a207,health_fitness,5.33,"fraud_Conroy, Balistreri and Gorczany",Management consultant,18,77,0.0
16db7c533040bad6408fd527d87b1159,grocery_net,5.82,fraud_Roob LLC,Building surveyor,8,27,0.0
b1f56029fb1121dd1cba8360cae7cd16,gas_transport,74.21,"fraud_Christiansen, Goyette and Schamberger",Patent attorney,5,55,0.0
526f1cbaa11f6584677a0e319f0560bd,shopping_net,5.97,"fraud_Altenwerth, Cartwright and Koss",Film/video editor,5,61,0.0
4aeec73c661b97602f78fb2fdf762c49,entertainment,2.7,"fraud_Schaefer, Fay and Hilll",Exhibition designer,21,46,0.0
